Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,CTR,CPC,CPL,ROAS
A1000,data analytics course,104,4498,231.88,14,7,0.058,1892,16-11-2024,Hyderabad,desktop,learn data analytics,0.023121387,2.229615385,16.56285714,8.159392789
A1001,data analytics course,173,5107,216.84,10,8,0.046,1679,,Hyderabad,mobile,data analytics course,0.033875073,1.253410405,21.684,7.74303634
A1002,data analytics course,90,4544,203.66,26,9,0.046,1624,,Hyderabad,desktop,data analitics online,0.019806338,2.262888889,7.833076923,7.974074438
A1003,data analytics course,142,3185,237.66,17,6,0.046,1225,26-11-2024,Hyderabad,tablet,data anaytics training,0.044583987,1.673661972,13.98,5.154422284
A1004,data analytics course,156,3361,195.9,30,8,0.046,1091,22-11-2024,Hyderabad,desktop,online data analytic,0.046414758,1.255769231,6.53,5.569167943
A1005,data analytics course,195,3776,243.57,10,8,0.046,1315,,Hyderabad,mobile,data anaytics training,0.051641949,1.249076923,24.357,5.398858644
A1006,data analytics course,116,4480,237.79,17,5,0.043,1640,,Hyderabad,tablet,data analytics course,0.025892857,2.049913793,13.98764706,6.896841751
A1007,data analytics course,184,5060,229.61,23,3,0.016,1509,,Delhi,tablet,analytics for data,0.036363636,1.247880435,9.983043478,6.572013414
A1008,data analytics course,113,5434,215.57,27,4,0.058,1362,,Delhi,tablet,data anaytics training,0.020794994,1.907699115,7.984074074,6.318133321
A1009,data analytics course,166,3355,186.78,24,9,0.054,1029,,Delhi,mobile,online data analytic,0.04947839,1.125180723,7.7825,5.509155156
A1010,data analytics course,101,5399,236.79,20,6,0.059,1900,,Hyderabad,desktop,learn data analytics,0.018707168,2.344455446,11.8395,8.023987499
A1011,data analytics course,101,3613,208.12,24,5,0.05,1130,,Hyderabad,desktop,online data analytic,0.027954608,2.060594059,8.671666667,5.429559869
A1012,data analytics course,125,3259,191.3,18,3,0.024,1959,,Pune,desktop,data analitics online,0.038355324,1.5304,10.62777778,10.24046001
A1013,data analytics course,196,3742,207.46,10,7,0.038,1623,,Hyderabad,mobile,data anaytics training,0.052378407,1.058469388,20.746,7.823194833
A1014,data analytics course,181,4311,185.09,11,9,0.05,1538,04-11-2024,Delhi,desktop,data anaytics training,0.041985618,1.022596685,16.82636364,8.309471068
